epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.75453,1.50335,2.99047,1.62402,0.93654,0.17432,0.31543,0.18238,1.46396,2.82804,1.47007,0.000409357,0.000409357,0.000409357
2,16.4253,1.45426,2.18441,1.5019,0.41316,0.29511,0.31993,0.21443,1.44341,2.20194,1.58087,0.000812325,0.000812325,0.000812325
3,23.7872,1.47216,2.05931,1.5324,0.44107,0.28995,0.3214,0.2024,1.52954,2.14041,1.65156,0.00120147,0.00120147,0.00120147
4,31.079,1.54075,2.12538,1.5873,0.77329,0.32414,0.36275,0.21091,1.50137,2.02816,1.63293,0.00118781,0.00118781,0.00118781
5,38.4033,1.49701,1.94433,1.54905,0.37498,0.31603,0.32119,0.16008,1.68797,2.10158,1.79403,0.00116708,0.00116708,0.00116708
6,45.8157,1.48906,1.95582,1.57693,0.34985,0.39903,0.33539,0.18909,1.57841,2.07202,1.616,0.00114635,0.00114635,0.00114635
7,53.1919,1.4323,1.81039,1.51838,0.40905,0.3424,0.36496,0.21645,1.51663,1.74077,1.58815,0.00112562,0.00112562,0.00112562
8,60.5889,1.44749,1.80117,1.52321,0.7068,0.39119,0.34227,0.21101,1.45429,2.25053,1.52656,0.0011049,0.0011049,0.0011049
9,67.941,1.39778,1.70855,1.47983,0.41564,0.46254,0.38814,0.23192,1.48217,1.61581,1.57726,0.00108417,0.00108417,0.00108417
10,75.2736,1.39547,1.62282,1.46319,0.35743,0.37688,0.36772,0.23628,1.44572,1.83318,1.54373,0.00106344,0.00106344,0.00106344
11,82.6879,1.36527,1.64769,1.46177,0.37502,0.47292,0.37965,0.22726,1.5011,1.65948,1.57691,0.00104271,0.00104271,0.00104271
12,90.0598,1.34739,1.60853,1.45916,0.49169,0.40921,0.44015,0.26976,1.40209,1.46309,1.48868,0.00102198,0.00102198,0.00102198
13,97.4455,1.33046,1.52663,1.42046,0.45229,0.41164,0.43661,0.24657,1.51822,1.62201,1.51009,0.00100125,0.00100125,0.00100125
14,104.761,1.30745,1.482,1.4178,0.45844,0.46447,0.45103,0.28937,1.39037,1.40281,1.45776,0.000980521,0.000980521,0.000980521
